position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
OL,0,74.375,267,21.35616438,22,4.92,5.16,28.5,104.5,0,4.47,1
DL,0,74.375,245,23.90958904,23,4.66,4.84,33.5,116.5,0,4.59,1
DL,0,74.375,240.8,25.34794521,16,5.11,5.2,31,104.7,0,0,0
DL,0,74.375,234,25.0739726,24,5.05,5.15,32,105.5,0,0,0
RB,1,74.375,229,25.12328767,16,5.16,5.29,27.5,107.75,0,4.4,1
LB,0,74.375,214.6,22.71506849,10,4.84,4.97,27,111,0,0,1
WR,0,74.375,205,24.24109589,15,4.53,4.72,33.5,115.75,0,4.01,1
DB,0,74.375,200,21.95068493,9,0,4.72,34.5,109,6.63,4.12,0
DB,0,74.375,195,25.65479452,1,4.9,5.15,25,107.5,0,4.33,0
WR,0,74.375,189.6,26.30958904,11,4.72,4.87,36,123,0,0,1
DB,0,74.375,186,25.8739726,7,0,4.72,35,115.5,6.95,4.19,0
DL,0,74.25,295,21.36986301,19,5.03,5.23,32.5,107.5,0,4.76,1
OL,0,74.25,293,22.77808219,18,5.43,5.62,30,99.5,0,5.22,1
DL,0,74.25,285,24.36986301,19,5.28,5.36,25,103,7.75,4.75,1
OL,0,74.25,283,22.52328767,14,5.51,5.68,27.5,97.5,0,4.59,0
DL,0,74.25,256,25.26575342,30,5.09,5.08,26,95,7.53,4.66,0
DL,0,74.25,255,23.23835616,23,4.72,4.84,37,121,7.16,4.28,1
RB,0,74.25,250.8,24.44109589,30,5.07,5.24,27,106.7,0,0,1
DL,0,74.25,250,21.70410959,22,4.94,5.18,23.5,104,0,4.59,0
DL,0,74.25,244,22.03561644,22,4.84,4.88,27.5,104.5,7.5,4.44,0
LB,0,74.25,232,25.16438356,17,4.66,4.78,37.5,122,0,4.28,1
LB,0,74.25,231.8,24.56164384,18,4.73,4.87,31.5,105.7,0,0,1
LB,0,74.25,225,24.51780822,19,4.82,0,32,109,0,4.55,0
LB,0,74.25,222,22.51232877,16,4.85,5.05,36,120.5,0,4.09,1
LB,0,74.25,212,22.2630137,13,4.62,4.93,33,115,0,4.2,1
OL,0,74.125,307,0,22,5.53,5.77,19,83.5,0,5.27,0
DL,0,74.125,287,26.08493151,22,5.58,5.95,19.5,91,0,5.31,0
OL,0,74.125,284.6,26.13972603,18,5.49,5.59,22,93.7,0,0,1
DL,0,74.125,258,24.11232877,25,4.98,5.12,35,112,0,4.4,0
DB,0,74.125,194,24.33150685,6,4.74,4.82,33,106.5,0,4.1,0
OL,0,74,341,26.82739726,28,5.88,6.15,23,87,8.81,5.33,0
OL,0,74,329,26.10958904,19,5.87,6.13,23.5,80.4,8.64,5.48,0
OL,0,74,310,21.77260274,27,0,5.312,28,105.5,8.097,4.889,1
OL,0,74,308,24.0109589,12,5.59,5.68,24.75,86.4,8.39,5.1,0
DL,0,74,305,22.63013699,28,0,4.822,27.5,99,7.56,4.62,1
OL,0,74,303,21.85753425,27,0,5.01,26.5,107.25,7.82,4.84,1
DL,1,74,296,24.91780822,28,5,5.29,30,108.24,7.42,4.45,1
OL,0,74,294,23.88767123,31,0,5.405,28.5,99.5,7.824,4.68,1
DL,0,74,280,24.40821918,26,5.02,5.25,31,103,0,4.55,1
OL,0,74,272,0,29,5.04,0,27,100.2,8.35,4.97,0
DL,0,74,270,24.61369863,40,0,4.949,32.5,108,7.969,4.638,1
DL,0,74,253,22.41643836,17,0,4.84,33.5,110,7.47,4.47,1
LB,0,74,245,24.70958904,22,0,4.71,33.5,115,7.56,4.32,1
DL,0,74,245,25.87671233,16,5.16,5.24,29.5,99,7.9,4.72,1
DL,0,74,242,22.47671233,28,0,4.89,35.5,123,7.27,4.18,1
DL,0,74,240,23.64931507,21,0,4.704,35,117,7.374,4.361,1
LB,0,74,233,23.82739726,19,0,4.69,34.5,122.75,7.63,4.59,1
